,Unnamed: 0,Time,Area,cell_number
897,897,897,2080,cell_1
898,898,898,2077,cell_1
899,899,899,2068,cell_1
900,900,900,2087,cell_1
901,901,901,2061,cell_1
902,902,902,2087,cell_1
903,903,903,2081,cell_1
904,904,904,2072,cell_1
905,905,905,2090,cell_1
906,906,906,2082,cell_1
907,907,907,2065,cell_1
908,908,908,2060,cell_1
909,909,909,2094,cell_1
910,910,910,2091,cell_1
911,911,911,2098,cell_1
912,912,912,2083,cell_1
913,913,913,2083,cell_1
914,914,914,2090,cell_1
915,915,915,2092,cell_1
916,916,916,2050,cell_1
917,917,917,2086,cell_1
918,918,918,2072,cell_1
919,919,919,2105,cell_1
920,920,920,2100,cell_1
921,921,921,2081,cell_1
922,922,922,2061,cell_1
923,923,923,2098,cell_1
924,924,924,2093,cell_1
925,925,925,2087,cell_1
926,926,926,2088,cell_1
927,927,927,2073,cell_1
928,928,928,2102,cell_1
929,929,929,2080,cell_1
930,930,930,2084,cell_1
931,931,931,2090,cell_1
932,932,932,2092,cell_1
933,933,933,2086,cell_1
934,934,934,2079,cell_1
935,935,935,2089,cell_1
